Humidity(%),Count
66.0,9285
79.0,9244
80.0,7984
76.0,9956
Unknown,14994
47.0,8233
61.0,10374
91.0,2834
65.0,11082
100.0,30937
93.0,26641
67.0,10094
95.0,769
77.0,9171
96.0,14071
62.0,9622
74.0,10432
69.0,9973
58.0,10070
82.0,10398
41.0,7265
50.0,9007
44.0,7854
75.0,8723
87.0,15900
53.0,9281
72.0,9947
68.0,10105
52.0,10410
81.0,11390
86.0,9621
97.0,9877
39.0,6430
34.0,4998
38.0,7285
85.0,5903
56.0,9139
71.0,9029
46.0,8340
89.0,11580
60.0,9337
49.0,8963
84.0,11798
54.0,10127
64.0,9273
92.0,4385
59.0,10315
83.0,10798
94.0,12134
35.0,5722
78.0,12271
63.0,10359
55.0,10028
48.0,9412
40.0,7189
70.0,9816
90.0,15654
88.0,9668
36.0,5560
43.0,7562
73.0,10734
31.0,4559
23.0,2791
33.0,5053
37.0,6410
42.0,7408
51.0,9027
98.0,471
57.0,9707
99.0,865
26.0,3269
29.0,4140
27.0,3713
24.0,2814
30.0,4134
22.0,2523
28.0,3841
20.0,2178
32.0,4612
25.0,3097
18.0,2048
45.0,7981
21.0,2300
19.0,1844
17.0,1710
14.0,1449
13.0,1302
16.0,1647
15.0,1613
11.0,1116
12.0,1202
10.0,957
9.0,886
8.0,708
7.0,492
4.0,234
6.0,343
5.0,220
3.0,7
2.0,3
