Precipitation(in),Count
Unknown,632066
0.16,419
0.01,12913
0.03,4322
0.02,6584
0.08,1382
10.0,35
0.0,39323
0.06,2113
0.05,2596
0.18,329
0.15,545
0.07,1759
0.04,3310
0.17,366
9.99,105
0.09,1279
0.1,1005
0.13,558
0.14,661
0.2,281
0.21,282
0.26,218
0.29,155
0.33,92
0.35,69
0.12,776
0.11,859
0.28,144
0.23,204
0.34,74
0.37,72
0.3,119
0.57,19
0.25,164
0.24,217
0.22,265
0.56,28
0.63,20
0.19,313
0.27,153
9.9,7
0.36,78
0.44,39
10.05,2
9.96,28
0.51,35
0.39,91
0.52,51
0.86,5
0.42,43
9.83,1
0.41,48
10.01,9
9.97,24
0.32,115
0.38,64
9.92,3
9.93,6
0.43,51
10.02,4
0.93,4
0.53,18
1.12,12
0.7,10
0.78,9
0.8,28
0.31,98
0.46,41
0.4,60
0.48,44
0.5,30
0.54,32
1.37,21
0.72,7
0.64,18
0.71,7
0.47,30
2.73,1
9.98,26
9.95,12
0.79,4
2.82,3
1.06,9
0.45,41
0.61,20
0.55,38
0.6,13
0.49,36
0.58,16
1.16,17
1.39,3
0.65,27
9.88,2
0.74,17
1.43,4
1.13,5
1.29,1
0.84,12
1.15,6
0.77,12
0.69,19
0.59,17
9.91,1
1.19,9
0.94,12
0.73,16
0.99,5
1.38,2
0.76,6
1.0,5
2.75,1
0.82,5
0.98,6
9.86,1
0.9,2
0.68,2
0.81,9
10.09,2
9.84,3
1.1,2
0.66,10
9.33,2
0.92,11
0.91,3
0.85,7
0.89,7
1.58,2
1.6,1
0.87,5
0.88,8
1.25,2
0.75,10
1.17,6
0.62,21
9.94,3
1.44,1
1.18,3
2.44,1
2.2,1
1.4,7
1.3,5
2.69,1
1.02,1
0.67,14
1.47,1
2.16,1
1.65,1
10.14,1
9.65,2
1.14,6
1.33,2
1.32,4
1.27,2
1.72,1
1.08,1
1.61,2
1.89,1
1.07,5
1.36,1
1.46,1
1.09,2
0.97,4
0.83,8
1.05,2
1.24,2
1.26,1
0.96,2
1.03,1
1.23,3
1.67,1
1.9,1
2.62,1
1.79,1
0.95,3
1.99,1
1.56,1
2.04,1
2.1,1
1.01,2
1.21,3
10.04,1
1.42,1
1.68,1
1.71,1
2.08,1
