Temperature(F),Count
50.0,11209
34.0,3361
48.9,6565
Unknown,14388
78.1,10944
69.1,11690
52.0,7129
24.1,1584
57.9,9826
37.4,1907
39.9,4236
82.0,9060
39.2,1693
55.0,8231
25.0,1749
55.8,161
57.0,9620
24.8,596
81.0,9420
39.4,101
55.9,9305
37.0,3955
84.0,7578
73.0,12533
73.4,6598
35.1,3315
71.1,11444
48.2,2953
53.1,7765
54.0,8393
41.0,6850
40.8,61
84.2,3657
51.8,3462
58.1,187
42.8,2483
46.4,3020
75.2,5790
27.0,2015
44.6,2739
26.6,779
37.9,3899
75.0,11940
71.6,6643
44.1,5505
82.9,8215
48.0,6604
46.9,6405
51.1,7005
41.4,94
43.0,5159
49.5,118
59.0,14963
72.0,11765
55.4,4911
32.5,87
38.5,103
39.0,4205
28.4,962
45.0,5820
40.1,129
35.6,1730
82.4,4625
80.1,10058
57.2,4496
53.6,4709
69.8,5044
42.1,4969
64.4,5536
64.0,11512
40.3,105
79.2,164
86.0,9714
21.0,1125
32.0,4719
77.0,16479
80.6,5038
30.2,1019
43.7,160
33.1,3274
70.0,11769
51.3,122
79.0,10476
71.2,191
33.8,1470
72.1,177
73.9,12438
30.9,2727
60.8,4922
36.0,3621
48.4,128
21.9,1370
30.0,2887
66.9,11595
75.9,12117
62.1,11047
68.0,17282
66.0,11030
23.0,1810
64.9,11210
52.2,130
46.0,5686
62.6,5909
38.7,86
63.0,11613
26.1,1848
28.9,2402
60.1,10558
54.7,121
66.2,5280
42.4,98
54.3,93
61.2,148
47.5,84
20.7,28
17.6,298
19.0,1092
53.2,112
20.8,38
19.9,1233
14.0,586
56.7,157
38.3,116
18.9,17
41.9,120
61.0,10905
62.8,150
28.0,2323
40.6,98
41.5,96
16.0,641
18.3,15
52.9,170
38.8,60
47.8,117
17.1,779
52.3,137
18.0,886
41.2,103
14.7,12
25.7,70
58.5,136
21.2,452
23.7,39
38.0,21
78.8,4716
50.9,172
42.6,60
56.3,191
25.2,38
42.3,96
17.4,35
59.5,138
32.4,68
74.5,174
15.1,587
84.9,6960
45.7,120
53.0,81
21.6,22
19.4,349
35.2,78
83.7,89
22.5,19
76.8,121
22.1,51
8.6,75
87.8,2502
10.9,381
48.6,116
45.5,196
8.1,300
7.0,182
45.3,97
6.1,186
49.0,32
69.3,149
26.0,10
15.8,168
16.9,13
50.4,126
12.0,365
16.3,19
49.1,155
63.5,199
39.7,90
56.8,145
27.7,28
43.9,115
6.8,47
14.4,11
44.2,108
12.9,400
20.0,6
29.1,63
12.2,130
59.9,187
59.4,142
74.3,215
74.1,143
26.4,70
9.5,15
1.9,185
13.8,16
77.2,173
45.1,89
58.0,122
3.9,158
59.2,151
15.6,9
76.0,78
55.2,87
5.0,223
10.4,121
56.1,129
19.8,17
1.0,108
33.3,100
13.5,6
16.7,34
10.0,293
73.8,173
8.4,12
57.7,125
43.3,108
13.1,18
-0.0,113
3.0,166
5.7,5
22.6,28
20.1,33
11.8,9
3.2,56
32.9,122
-0.9,91
-5.8,8
34.2,74
-2.2,18
31.1,96
29.7,63
-6.0,35
7.9,4
14.9,10
-0.4,14
-13.0,20
31.3,48
-7.6,13
63.7,152
55.6,134
9.0,313
18.7,22
9.9,10
-7.1,46
-9.9,25
9.3,9
18.5,55
30.7,69
29.5,48
7.3,4
8.2,7
-4.0,37
-9.4,7
17.8,12
65.0,120
-2.9,42
28.6,27
18.1,25
-2.0,54
29.8,77
12.7,13
79.3,142
58.6,123
58.3,131
79.7,158
53.4,115
16.2,21
11.3,7
77.9,208
59.7,124
11.1,8
9.1,5
-7.2,2
10.2,5
22.3,20
31.8,67
20.3,60
57.4,135
31.6,84
54.5,196
28.2,58
50.2,137
46.2,64
29.3,88
3.7,4
11.7,3
10.6,2
-8.0,25
27.9,57
-11.2,4
49.6,120
51.6,93
-0.2,4
-9.0,37
7.7,5
1.4,36
0.5,5
3.6,3
28.8,53
2.3,7
5.5,2
22.8,38
5.9,4
67.6,154
34.9,79
73.6,193
60.0,92
34.3,69
35.8,80
62.0,94
63.3,142
16.5,19
30.4,37
17.0,3
63.9,180
74.8,144
23.4,33
78.6,137
6.6,6
21.7,27
17.2,17
6.4,5
-5.1,35
12.6,7
12.4,6
30.6,64
24.6,39
51.4,118
11.5,2
15.3,9
2.5,1
50.7,87
-8.1,1
-6.2,1
47.3,162
47.7,107
73.2,169
24.0,7
13.6,13
15.4,20
57.6,144
23.5,38
51.0,74
33.4,76
56.0,94
22.0,5
61.3,161
70.3,204
14.5,11
36.3,43
56.5,144
13.0,2
9.7,2
54.1,117
49.8,88
23.9,49
64.6,186
24.4,36
25.5,55
25.3,40
26.2,46
26.8,38
66.4,175
27.3,47
33.6,47
27.5,73
60.6,115
31.0,21
48.7,92
47.1,97
34.7,107
44.0,25
35.0,16
60.3,144
67.3,173
65.5,189
27.1,48
68.7,143
69.4,164
32.7,43
36.9,56
75.7,168
79.9,180
71.8,160
36.5,109
70.7,238
35.4,51
61.9,158
34.5,50
52.7,155
42.0,39
60.4,123
20.5,33
62.2,133
61.7,215
32.2,88
64.2,104
43.5,81
62.4,95
46.8,103
44.8,122
72.9,172
36.1,58
45.9,130
70.2,171
72.5,244
76.3,188
50.5,137
72.3,112
31.5,47
70.9,191
70.5,158
53.8,133
52.5,93
25.9,26
68.9,250
68.4,178
67.1,206
14.2,8
54.9,122
13.3,5
63.1,133
37.8,62
72.7,216
39.6,94
65.3,216
65.8,167
23.2,16
49.3,118
-13.4,2
-10.7,2
46.6,97
38.1,57
19.2,20
67.5,178
-6.9,1
24.3,33
68.2,203
74.0,72
77.5,130
78.3,132
69.0,98
41.7,74
76.6,153
69.6,134
75.4,168
66.6,140
64.8,177
33.0,17
67.8,121
43.2,108
76.5,173
78.4,149
29.0,14
37.2,42
37.6,74
40.5,95
-77.8,7
67.0,87
44.4,102
75.6,161
36.7,78
47.0,43
68.5,162
84.6,95
82.2,110
65.1,123
61.5,125
58.8,137
71.4,132
81.7,121
65.7,146
40.0,20
21.4,16
71.0,98
11.0,2
76.1,192
87.1,5916
85.8,94
91.0,3856
66.7,148
81.5,167
89.1,4831
81.1,112
88.0,5415
19.6,20
10.8,3
81.3,109
86.2,105
77.4,154
4.1,7
7.2,1
78.0,105
86.4,92
123.8,1
87.6,66
89.2,55
91.9,3201
74.7,136
82.6,140
77.7,145
80.2,120
89.6,2446
83.1,109
80.0,90
91.4,1958
85.0,50
80.4,130
93.0,2327
95.0,2126
89.0,53
93.2,1296
92.0,39
90.0,4323
83.5,109
85.6,98
97.0,746
84.7,88
15.0,1
82.8,136
83.0,56
87.0,75
93.9,1794
85.3,115
83.3,133
80.8,137
81.9,91
79.5,119
87.4,81
92.1,36
84.4,98
86.5,93
85.5,96
85.1,92
83.8,116
96.1,867
90.7,56
88.2,69
88.5,58
87.3,77
99.0,516
98.1,539
86.9,119
100.0,364
105.1,169
89.4,60
102.2,193
100.9,285
96.8,487
104.0,284
88.9,78
102.0,253
102.9,225
100.4,276
98.6,455
106.0,141
105.8,107
111.2,13
90.5,56
92.7,35
92.8,33
88.7,72
92.5,31
89.8,77
90.3,52
86.7,88
91.2,50
88.3,80
90.9,62
94.0,32
93.6,36
96.0,11
108.0,63
91.8,46
98.4,7
95.7,26
90.1,61
92.3,41
91.6,54
93.4,32
94.3,24
94.1,47
94.6,30
109.9,43
107.1,99
95.4,23
103.5,6
97.3,13
95.5,21
109.4,34
109.0,40
113.0,8
111.0,21
118.4,2
115.0,12
104.4,3
111.9,11
107.6,90
103.8,3
97.9,18
101.8,6
118.0,3
114.1,9
116.1,2
116.6,2
97.2,21
114.8,7
95.9,16
117.0,3
106.9,4
105.4,3
109.6,1
99.7,3
100.2,7
95.2,17
97.5,11
94.5,15
97.7,15
93.7,18
98.0,8
94.8,25
103.0,8
107.0,6
96.4,22
103.1,1
101.0,7
106.3,1
96.6,9
98.2,2
96.3,28
106.5,2
167.0,1
102.6,2
99.9,4
103.3,1
100.6,5
98.8,5
100.8,2
102.7,6
99.5,4
101.3,8
99.1,6
101.7,4
99.3,4
104.2,1
106.7,1
107.2,7
106.2,2
103.6,2
101.1,3
101.5,2
104.9,5
105.3,1
107.8,2
104.5,1
105.6,1
102.4,1
158.0,1
6.3,5
4.6,4
-3.8,2
-0.6,3
-1.7,1
1.2,3
-2.6,1
4.8,6
7.5,3
-1.8,2
-25.6,1
-4.4,2
-16.6,4
-11.0,10
-1.3,1
-15.3,1
-4.2,2
-8.7,1
0.7,1
-6.3,1
0.1,1
2.1,2
0.9,5
2.8,2
1.8,3
-14.1,31
-15.0,16
-16.1,1
-0.8,2
-3.5,1
8.8,1
4.5,1
5.4,1
-11.9,22
-11.7,2
-12.3,2
-14.8,5
-12.5,1
-15.2,2
-14.4,1
-11.4,2
-2.4,1
-8.9,1
-1.5,1
0.3,2
-17.0,1
2.0,1
-7.8,1
4.0,1
